text	sentiment	category
Islanders' games postponed through Nov. 30 due to COVID-19 https://t.co/zy1QvYxZJw	Neutral	Informative posts
@RodKahx @CanuckTraveler @Dan_GT2 We need a different solution for that. We can no longer skimp on health expenditures. COVID is here to stay and so we’ll need to spend the money to deal with it.	Negative	Critique and opinions
"""since Tuesday, more than 10,000 appointments have been booked for children aged 5-11 to receive their first dose of the COVID-19 vaccine.""

For reference - that is over 18% of the 5-11 population in New Brunswick have already been booked for their first dose."	Neutral	Informative posts
"""Pregnancy can be an exciting time, but also one of uncertainty. The COVID-19 pandemic understandably adds further stress and may cause anxiety in some people"" https://t.co/6aNYbKpdS8 via @mnt"	Neutral	Informative posts
@ShiroSpirit @Stonekettle If you read her original tweet she’s talking about the annual flu vaccine not the Covid vaccine so she’s misinformed about the flu vaccine. She’s double vaccinated plus has the booster. Everyone’s piling on her because she’s misinformed. I’ll admit defeat on the definition	Neutral	Critique and opinions
"@HockeyForLife9 @VoiceOfFranky Having hesitation is 💯 legitimate. 

But the difference between LPC/NDP and CPC speaks volumes here.

I can accept vaccine hesitancy, especially for child, especially for COVID. 

I can’t comprehend vaccine deniers . 

CPC is full of conspirationist and deniers of sciences ."	Neutral	Critique and opinions
@jkenney leads by idealism not facts or things that actually make sense! I mean who let's all those people get sick and die? I do know there was a deal between him and @erinotoole so O'Toole wouldn't look bad on the support of the province's Covid response! #canpoli https://t.co/S7BglJlbaI	Negative	Critique and opinions
"Remove all Covid restrictions. 

Time for the Canadian govt to stop abusing its citizens. 

#bcpoli #cdnpoli https://t.co/ym6URnymZb"	Negative	Critique and opinions
"@Jeffistopheles @AmyAThatcher Well, she did collect that government socialist covid handout"	Negative	Critique and opinions
"@ColorsTV @BeingSalmanKhan My favorite is #UmarRiaz..

Why?

Because He is the only 1 who connect with me &amp; as an Audience like to see Real, Natural and Honest person..
+
I respect Doctors who helped and helping  in critical COVID time..

But, you don't understand the value of the Doctors and Real Heros.."	Positive	Compassion and sentiment
"1 year before a mystery virus appeared in Wuhan  ( December 2019).  There was Clade X . Yet another pandemic dry run or war game that involved Bill Gates. It mimicked Covid in many ways. 
#theysawitcoming
https://t.co/kEu2UjELUU"	Negative	Critique and opinions
"Remember folks, Moderna has NEVER PASSED STAGE 3 trials for 9 vaccines they have tried to put to market!!! Until emerg orders Moderna has never been able to Jab people!!! https://t.co/qKA7ugZRRu"	Negative	Critique and opinions
What we know about Omicron COVID-19 variant https://t.co/48KWGITKMq	Neutral	Informative posts
